uniprot_id,system_id,ligand_smiles,ligand_inchikey,affinity_file
P27707,4q18__1__1.A__1.C_1.D,CCCc1sc(-c2ccc(OC)c(OCC(C)(C)O)c2)nc1CSc1cc(N)nc(N)n1,VSEGZQPURWAQMY-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4q18__1__1.A__1.C_1.D,CCCc1sc(-c2ccc(OC)c(OCC(C)(C)O)c2)nc1CSc1cc(N)nc(N)n1,VSEGZQPURWAQMY-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4q18__1__1.B__1.G_1.H,CCCc1sc(-c2ccc(OC)c(OCC(C)(C)O)c2)nc1CSc1cc(N)nc(N)n1,VSEGZQPURWAQMY-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4q18__1__1.B__1.G_1.H,CCCc1sc(-c2ccc(OC)c(OCC(C)(C)O)c2)nc1CSc1cc(N)nc(N)n1,VSEGZQPURWAQMY-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,3ipy__1__1.B__1.F_1.G_1.H,O=C(CN1CCN(c2cc(-c3cc4ccccc4s3)ncn2)CC1)N1CCCC1,NDLZMZLRTHDNSQ-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,3ipy__1__1.B__1.F_1.G_1.H,O=C(CN1CCN(c2cc(-c3cc4ccccc4s3)ncn2)CC1)N1CCCC1,NDLZMZLRTHDNSQ-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,3ipy__2__1.A__1.C_1.D_1.E,O=C(CN1CCN(c2cc(-c3cc4ccccc4s3)ncn2)CC1)N1CCCC1,NDLZMZLRTHDNSQ-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,3ipy__2__1.A__1.C_1.D_1.E,O=C(CN1CCN(c2cc(-c3cc4ccccc4s3)ncn2)CC1)N1CCCC1,NDLZMZLRTHDNSQ-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,3ipy__3__1.A__1.C_1.D_1.E,O=C(CN1CCN(c2cc(-c3cc4ccccc4s3)ncn2)CC1)N1CCCC1,NDLZMZLRTHDNSQ-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,3ipy__3__1.A__1.C_1.D_1.E,O=C(CN1CCN(c2cc(-c3cc4ccccc4s3)ncn2)CC1)N1CCCC1,NDLZMZLRTHDNSQ-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,3ipy__3__1.B__1.F_1.G_1.H,O=C(CN1CCN(c2cc(-c3cc4ccccc4s3)ncn2)CC1)N1CCCC1,NDLZMZLRTHDNSQ-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,3ipy__3__1.B__1.F_1.G_1.H,O=C(CN1CCN(c2cc(-c3cc4ccccc4s3)ncn2)CC1)N1CCCC1,NDLZMZLRTHDNSQ-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,5mqt__1__1.A__1.F,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,KTUFNOKKBVMGRW-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,5mqt__2__1.C__1.K,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,KTUFNOKKBVMGRW-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4kcg__1__1.A__1.C,CCCc1sc(-c2ccc(OC)c(OCCNS(C)(=O)=O)c2)nc1CSc1nc(N)cc(N)n1,VWMTUHOSEYDVPP-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4kcg__1__1.B__1.E,CCCc1sc(-c2ccc(OC)c(OCCNS(C)(=O)=O)c2)nc1CSc1nc(N)cc(N)n1,VWMTUHOSEYDVPP-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4l5b__1__1.A__1.C,CCCc1sc(-c2ccc(OC)c(OCC(C)(C)O)c2)nc1CSc1nc(N)cc(N)n1,PWASXBOUTAWHOZ-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4l5b__1__1.B__1.E,CCCc1sc(-c2ccc(OC)c(OCC(C)(C)O)c2)nc1CSc1nc(N)cc(N)n1,PWASXBOUTAWHOZ-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4jlm__1__1.A__1.C_1.D,CCc1sc(-c2ccc(OC)c(OCCF)c2)nc1CSc1nc(N)cc(N)n1,BLYJASYJWHXVPZ-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4jlm__1__1.A__1.C_1.D,CCc1sc(-c2ccc(OC)c(OCCF)c2)nc1CSc1nc(N)cc(N)n1,BLYJASYJWHXVPZ-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4jlm__1__1.B__1.F,CCc1sc(-c2ccc(OC)c(OCCF)c2)nc1CSc1nc(N)cc(N)n1,BLYJASYJWHXVPZ-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4jlj__1__1.A__1.C_1.D,COc1ccc(-c2nc(CSc3nc(N)cc(N)n3)cs2)cc1OCCF,ZWMGIFUNVAXYGP-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4jlj__1__1.A__1.C_1.D,COc1ccc(-c2nc(CSc3nc(N)cc(N)n3)cs2)cc1OCCF,ZWMGIFUNVAXYGP-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4jlj__1__1.B__1.F_1.G,COc1ccc(-c2nc(CSc3nc(N)cc(N)n3)cs2)cc1OCCF,ZWMGIFUNVAXYGP-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4jlj__1__1.B__1.F_1.G,COc1ccc(-c2nc(CSc3nc(N)cc(N)n3)cs2)cc1OCCF,ZWMGIFUNVAXYGP-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4jlk__1__1.A__1.D_1.E,COc1ccc(-c2nc(CSc3nc(N)cc(N)n3)c(C)s2)cc1OCCF,KKVXVGPJAGIJNR-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4jlk__1__1.A__1.D_1.E,COc1ccc(-c2nc(CSc3nc(N)cc(N)n3)c(C)s2)cc1OCCF,KKVXVGPJAGIJNR-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4jlk__1__1.B__1.G_1.H,COc1ccc(-c2nc(CSc3nc(N)cc(N)n3)c(C)s2)cc1OCCF,KKVXVGPJAGIJNR-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4jlk__1__1.B__1.G_1.H,COc1ccc(-c2nc(CSc3nc(N)cc(N)n3)c(C)s2)cc1OCCF,KKVXVGPJAGIJNR-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4jln__1__1.A__1.C,CCCc1sc(-c2ccc(OC)c(OCCF)c2)nc1CSc1nc(N)cc(N)n1,FZFMUZLLFBZGTQ-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
P27707,4jln__1__1.B__1.E,CCCc1sc(-c2ccc(OC)c(OCCF)c2)nc1CSc1nc(N)cc(N)n1,FZFMUZLLFBZGTQ-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P27707/P27707_chembl_activities.parquet
Q8NG06,8pd6__1__1.A__1.B,CN(C)CCCNc1nc(NCC2CCNCC2)c2cc(-c3ccccc3)ccc2n1,ZQESDCZQQXAWMA-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_Q8NG06/Q8NG06_chembl_activities.parquet
Q96CA5,3gta__1__1.A__1.D,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc2c(-c3ccccc3)cccc2s1)C1CCCCC1,ZMBDQSBUBMMIRB-QXWFJRNPSA-N,data/chembl_parallel_enriched_combined/uniprot_Q96CA5/Q96CA5_chembl_activities.parquet
Q96CA5,3gta__2__1.B__1.G,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc2c(-c3ccccc3)cccc2s1)C1CCCCC1,ZMBDQSBUBMMIRB-QXWFJRNPSA-N,data/chembl_parallel_enriched_combined/uniprot_Q96CA5/Q96CA5_chembl_activities.parquet
Q96CA5,3gt9__1__1.A__1.D,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2cccc3ccccc23)cs1)C1CCCCC1,OWHXKYSKEROHGU-CNVLFFCLSA-N,data/chembl_parallel_enriched_combined/uniprot_Q96CA5/Q96CA5_chembl_activities.parquet
Q96CA5,3gt9__2__1.B__1.F,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2cccc3ccccc23)cs1)C1CCCCC1,OWHXKYSKEROHGU-CNVLFFCLSA-N,data/chembl_parallel_enriched_combined/uniprot_Q96CA5/Q96CA5_chembl_activities.parquet
Q96CA5,3uw5__1__1.A__1.C,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1,WZRFLSDVFPIXOV-LRQRDZAKSA-N,data/chembl_parallel_enriched_combined/uniprot_Q96CA5/Q96CA5_chembl_activities.parquet
Q96CA5,3uw5__2__1.B__1.D,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1,WZRFLSDVFPIXOV-LRQRDZAKSA-N,data/chembl_parallel_enriched_combined/uniprot_Q96CA5/Q96CA5_chembl_activities.parquet
P36222,8r42__1__1.A__1.E_1.G,Clc1ccc(C[C@H]2CCCN2C2CCN(c3ccccn3)CC2)cc1,XCVVDQHGTQAUAD-HXUWFJFHSA-N,data/chembl_parallel_enriched_combined/uniprot_P36222/P36222_chembl_activities.parquet
P36222,8r42__1__1.B__1.Q,Clc1ccc(C[C@H]2CCCN2C2CCN(c3ccccn3)CC2)cc1,XCVVDQHGTQAUAD-HXUWFJFHSA-N,data/chembl_parallel_enriched_combined/uniprot_P36222/P36222_chembl_activities.parquet
P36222,8r4x__1__1.A__1.J_1.K_1.L_1.P,C[C@H]1CN(C2CCN(c3cc(Cl)ccn3)CC2)[C@@H](Cc2ccc(Cl)cc2)CO1,GQUVGWGVUVRLTF-KKSFZXQISA-N,data/chembl_parallel_enriched_combined/uniprot_P36222/P36222_chembl_activities.parquet
P36222,8r4x__4__1.D__1.DA_1.FA,C[C@H]1CN(C2CCN(c3cc(Cl)ccn3)CC2)[C@@H](Cc2ccc(Cl)cc2)CO1,GQUVGWGVUVRLTF-KKSFZXQISA-N,data/chembl_parallel_enriched_combined/uniprot_P36222/P36222_chembl_activities.parquet
P36222,8r4x__2__1.B__1.U,C[C@H]1CN(C2CCN(c3cc(Cl)ccn3)CC2)[C@@H](Cc2ccc(Cl)cc2)CO1,GQUVGWGVUVRLTF-KKSFZXQISA-N,data/chembl_parallel_enriched_combined/uniprot_P36222/P36222_chembl_activities.parquet
P36222,8r4x__3__1.C__1.Y,C[C@H]1CN(C2CCN(c3cc(Cl)ccn3)CC2)[C@@H](Cc2ccc(Cl)cc2)CO1,GQUVGWGVUVRLTF-KKSFZXQISA-N,data/chembl_parallel_enriched_combined/uniprot_P36222/P36222_chembl_activities.parquet
P36222,8r41__1__1.A__1.E_1.F_1.G,COCCN(CCc1ccc(Br)cc1)C1CCN(c2nccs2)CC1,ZIMCMBNSEPJKGB-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P36222/P36222_chembl_activities.parquet
P36222,8r41__2__1.B__1.L_1.N,COCCN(CCc1ccc(Br)cc1)C1CCN(c2nccs2)CC1,ZIMCMBNSEPJKGB-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_P36222/P36222_chembl_activities.parquet
Q15562,6s60__2__1.B__1.E,O=C(O)CCCn1cc(C(=O)NCc2ccccc2)c(-c2ccc(Cl)c(Cl)c2)n1,OVYIHVKAGNTCMO-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_Q15562/Q15562_chembl_activities.parquet
Q15562,6s6j__1__1.A_1.B__1.E,CCOC(=O)c1cn(CCCCN)nc1-c1ccc(Cl)c(Cl)c1,XOCDXRVHDVXMSJ-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_Q15562/Q15562_chembl_activities.parquet
Q15562,6s69__2__1.B__1.E,O=C(O)CCn1cc(C(=O)NCCc2ccccc2)c(-c2ccc(Cl)c(Cl)c2)n1,WJCVJAAKDIWERJ-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_Q15562/Q15562_chembl_activities.parquet
Q15562,6cdy__1__1.A__1.C,O=C(CSc1nnc[nH]1)Nc1ccc(C23CC4CC(CC(C4)C2)C3)cc1,UUKXOVBCMOZQNC-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_Q15562/Q15562_chembl_activities.parquet
Q15562,6cdy__2__1.B__1.D,O=C(CSc1nnc[nH]1)Nc1ccc(C23CC4CC(CC(C4)C2)C3)cc1,UUKXOVBCMOZQNC-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_Q15562/Q15562_chembl_activities.parquet
Q15562,6uyb__1__1.A__1.D,COc1c(C)cc(N2C[C@@H](O)[C@@H](O)C2=O)cc1/C=C/c1ccc(Cl)cc1,HMEZTOZNZTWJET-YNDRMARASA-N,data/chembl_parallel_enriched_combined/uniprot_Q15562/Q15562_chembl_activities.parquet
Q15562,6uyb__2__1.B__1.F,COc1c(C)cc(N2C[C@@H](O)[C@@H](O)C2=O)cc1/C=C/c1ccc(Cl)cc1,HMEZTOZNZTWJET-YNDRMARASA-N,data/chembl_parallel_enriched_combined/uniprot_Q15562/Q15562_chembl_activities.parquet
Q99835,4jkv__1__1.A__1.C,CN(C(=O)c1ccc(F)cc1C(F)(F)F)C1CCN(c2nnc(-c3ccnn3C)c3ccccc23)CC1,SZBGQDXLNMELTB-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_Q99835/Q99835_chembl_activities.parquet
Q99835,4jkv__1__1.B__1.L,CN(C(=O)c1ccc(F)cc1C(F)(F)F)C1CCN(c2nnc(-c3ccnn3C)c3ccccc23)CC1,SZBGQDXLNMELTB-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_Q99835/Q99835_chembl_activities.parquet
Q99835,4qim__1__1.A__1.B,CC(C)(O)c1ccc(N2CCN(c3nnc(Cc4ccccc4)c4ccccc34)CC2)nc1,KSWYJUIFHPSZOL-UHFFFAOYSA-N,data/chembl_parallel_enriched_combined/uniprot_Q99835/Q99835_chembl_activities.parquet
Q99835,4n4w__1__1.A__1.C,Cc1nn(-c2ccccc2)c(C)c1/C=N/N1CCN(Cc2ccccc2)CC1,FOORCIAZMIWALX-JJIBRWJFSA-N,data/chembl_parallel_enriched_combined/uniprot_Q99835/Q99835_chembl_activities.parquet
Q99835,4n4w__1__2.A__2.C,Cc1nn(-c2ccccc2)c(C)c1/C=N/N1CCN(Cc2ccccc2)CC1,FOORCIAZMIWALX-JJIBRWJFSA-N,data/chembl_parallel_enriched_combined/uniprot_Q99835/Q99835_chembl_activities.parquet
P17931,6eol__1__1.A__1.B_1.C_1.D,OC[C@H]1O[C@H](Sc2ccc(Cl)c(Cl)c2)[C@H](O)[C@@H](n2cc(-c3cc(F)c(F)c(F)c3)nn2)[C@H]1O,CSGJIUAIYDKFPC-DABHTEOTSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,8itz__1__1.A__1.C,O=C(O)CO[C@@H]1[C@@H](n2cc(-c3cc(F)c(F)c(F)c3)nn2)[C@@H](O)[C@@H](CO)O[C@@H]1Sc1ccc(Cl)c(Cl)c1,RROCGPVSGSQEET-WIXLDOGYSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,6qlt__1__1.A__1.C,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4ccccc4F)nn3)[C@H]2O)cc1,SPWDDLPVHYIRJF-IFLJBQAJSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,6qls__1__1.A__1.B,OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](n2cc(-c3ccccc3)nn2)[C@H]1O,OARGKFGHNLEIQR-CPMKIQJPSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,6qlr__1__1.A__1.B,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4cc(F)cc(F)c4)nn3)[C@H]2O)cc1,QACLTXLGBFUVST-IFLJBQAJSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,6qln__1__1.A__1.B,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4cccc(F)c4)nn3)[C@H]2O)cc1,LTAMTECRMDNLJJ-IFLJBQAJSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,6qlp__1__1.A__1.C,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4cc(F)c(F)c(F)c4)nn3)[C@H]2O)cc1,QNVXTRRKWGDVAN-RQSWOZRGSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,6qlu__1__1.A__1.B,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4ccc(F)c(C)c4)nn3)[C@H]2O)cc1,YMMGKBVLXHTWGR-CTWRKMMKSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,6qlo__1__1.A__1.B,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4ccc(F)c(F)c4)nn3)[C@H]2O)cc1,DWZCKGAEDMIIIZ-IFLJBQAJSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,7zqx__1__1.A__1.B_1.C_1.G_1.H,OC[C@H]1O[C@H](Sc2cncc(Br)c2)[C@H](O)[C@@H](n2cc(-c3cc(F)c(F)c(F)c3)nn2)[C@H]1O,FNCLKJPMEFPXOR-QFACEVIFSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,3t1l__1__1.A__1.C,CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OC(=O)c2ccc(C)cc2)[C@@H]1OC(C)=O,IYJMKTZAMJWCQH-JLHDYFKBSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,1a3k__1__1.A__1.B,CC(=O)N[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@H]1O,KFEUJDWYNGMDBV-LODBTCKLSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,8ppn__1__1.A__1.B,OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,SYKYBMOFPMXDRQ-ZFDCCPEWSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,8pff__1__1.A__1.B_1.C,O=S(=O)(c1ccccc1)c1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2O)nn1,QYZOKSXMSOLNQR-VTOAZQAJSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,8pbf__1__1.A__1.B_1.C,OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](n2cc(Sc3ccccc3)nn2)[C@H]1O,ROQDROPGJRNKKP-VTOAZQAJSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,7rh1__1__1.A__1.D,CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OC(=O)c2ccc(C)cc2)[C@@H]1OC(=O)c1cccc([N+](=O)[O-])c1,CHZMAUNHQDXHJQ-NOYKIMNZSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,7rh0__1__1.A__1.D,CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OC(=O)c2ccc(C)cc2)[C@@H]1OC(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],VLBBOLJDXZIPOG-NOYKIMNZSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,7rh3__1__1.A__1.C,CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OC(=O)c2ccc(C)cc2)[C@@H]1OC(=O)c1ccc(Cl)cc1[N+](=O)[O-],FSBFERQGFVBNEJ-NOYKIMNZSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,7rh4__1__1.A__1.C,CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OC(=O)c2ccc(C)cc2)[C@@H]1OC(=O)c1ccc(F)cc1[N+](=O)[O-],UAZQKBXLYFSZPW-NOYKIMNZSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,4jc1__1__1.A__1.B,OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,SYKYBMOFPMXDRQ-ZFDCCPEWSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,7rgy__1__1.A__1.D,CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OC(=O)c2ccc(C)cc2)[C@@H]1OC(=O)c1ccc(Cl)cc1[N+](=O)[O-],FSBFERQGFVBNEJ-NOYKIMNZSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,7rgz__1__1.A__1.D,CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OC(=O)c2ccc(C)cc2)[C@@H]1OC(=O)c1ccc(F)cc1[N+](=O)[O-],UAZQKBXLYFSZPW-NOYKIMNZSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,7rgx__1__1.A__1.C,CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OC(=O)c2ccc(C)cc2)[C@@H]1OC(=O)c1ccccc1[N+](=O)[O-],CFXAQLIZQHBOAM-NOYKIMNZSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
P17931,1kjl__1__1.A__1.B,CC(=O)N[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@H]1O,KFEUJDWYNGMDBV-LODBTCKLSA-N,data/chembl_parallel_enriched_combined/uniprot_P17931/P17931_chembl_activities.parquet
